#,company,review_id,posted_date,city,state,company_country,company_industry,full_review_text,rating,position,status,length_of_employment,pros,cons,management_advice,recommends,opinion_of_ceo,business_outlook,language,review_url,culture_and_values_rating,diversity_and_inclusion_rating,senior_management_rating,work_life_balance_rating,carrier_opportunities_rating,compensation_and_benefits_rating,helpful,not_helpful,company_foundedyear,company_type,company_revenue,company_aboutus,company_employeecount,company_ticker,company_location,company_id,company_url,company_competitors,company_ceoname,company_affiliations
11,Hermès,46375678,2021-05-02,New York,NY,France,"Department, Clothing & Shoe Stores",It was fun but worth it It was very hard work,5,Chief Executive Officer (CEO),REGULAR,0,It was fun but worth it,It was very hard work,,N/A,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW46375678.htm,0,0,0,0,0,0,0,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
12,Hermès,44465511,2021-03-23,New York,NY,France,"Department, Clothing & Shoe Stores",Closw family oriented company. They take csre of the employees For sales alot of stock work is re...,4,Sales,REGULAR,0,Closw family oriented company. They take csre of the employees,For sales alot of stock work is required,,N/A,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW44465511.htm,0,0,0,0,0,0,0,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
13,BurgerFi,11477397,2016-08-06,New York,NY,United States,Restaurants & Cafes,Excellent company to work for Need to do a better job when hiring certain managers whatever you ...,5,Assistant GM,REGULAR,4,Excellent company to work for,Need to do a better job when hiring certain managers,"whatever you do, never run out of Angus and Potato that could cost you your job",Yes,Yes,Yes,eng,https://www.glassdoor.com/Reviews/Employee-Review-BurgerFi-RVW11477397.htm,5,0,5,4,5,5,0,0,,Company - Public,$100 to $500 million (USD),,,BFI,"North Palm Beach, FL",805746,"https://www.glassdoor.com/Overview/Working-at-BurgerFi-EI_IE805746.11,19.htm",,,
14,BurgerFi,11111906,2016-07-02,Hempstead,NY,United States,Restaurants & Cafes,Small Business so you get real experience on how the restaurant is run in every aspect. Great op...,3,,,1,Small Business so you get real experience on how the restaurant is run in every aspect. Great op...,"Employers want you to work super hard, barely take a break and they seem like they really don't k...",Treat your employees with respect,No,Neutral,No,eng,https://www.glassdoor.com/Reviews/Employee-Review-BurgerFi-RVW11111906.htm,2,0,3,4,4,2,0,0,,Company - Public,$100 to $500 million (USD),,,BFI,"North Palm Beach, FL",805746,"https://www.glassdoor.com/Overview/Working-at-BurgerFi-EI_IE805746.11,19.htm",,,
15,Hermès,43779438,2021-03-10,New York,NY,France,"Department, Clothing & Shoe Stores","Nice people who work here Nothing, no cons great company",5,,SEASONAL,0,Nice people who work here,"Nothing, no cons great company",,N/A,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW43779438.htm,0,0,0,0,0,0,0,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
16,KSL Biomedical,83059906,2024-01-04,Buffalo,NY,United States,Biotechnology,Growing company with visionary experienced leadership. It is a fast paced startup.,4,,REGULAR,4,Growing company with visionary experienced leadership.,It is a fast paced startup.,,Yes,N/A,Yes,eng,https://www.glassdoor.com/Reviews/Employee-Review-KSL-Biomedical-RVW83059906.htm,4,5,5,5,5,4,0,0,,Company - Public,Unknown / Non-Applicable,,,,"Buffalo, NY",4765550,"https://www.glassdoor.com/Overview/Working-at-KSL-Biomedical-EI_IE4765550.11,25.htm",,,
17,HC Service,70084964,2022-10-12,New York,NY,Italy,,"Good Pay as an intern Long hours, make you stay 2-3 hours exta",3,Intern,INTERN,0,Good Pay as an intern,"Long hours, make you stay 2-3 hours exta",,N/A,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-HC-Service-RVW70084964.htm,0,0,0,0,0,0,0,0,,Company - Private,Unknown / Non-Applicable,,,,"Bottanuco, Italy",3721600,"https://www.glassdoor.com/Overview/Working-at-HC-Service-EI_IE3721600.11,21.htm",,,
18,Kirkland & Ellis,76976795,2023-06-01,New York,NY,United States,,"This firm is the best. We have the smartest attorneys, fantastic training and everybody works tog...",5,Practice Assistant,REGULAR,1,"This firm is the best. We have the smartest attorneys, fantastic training and everybody works tog...",I cannot think of any cons,,Yes,Yes,Neutral,eng,https://www.glassdoor.com/Reviews/Employee-Review-Kirkland-and-Ellis-RVW76976795.htm,5,5,5,5,5,5,0,0,,Company - Public,$1 to $5 billion (USD),,,,"Chicago, IL",8057646,"https://www.glassdoor.com/Overview/Working-at-Kirkland-and-Ellis-EI_IE8057646.11,29.htm",,,
19,Bio-Reference Labs,83208542,2024-01-09,New York,NY,United States,Health Care Services & Hospitals,"Flexible schedule, large company so everything is structured and follows federal laws I was overs...",3,Sales Representative,REGULAR,2,"Flexible schedule, large company so everything is structured and follows federal laws",I was oversold at hiring and the whole time during my employment. The company doesn't seem very s...,,N/A,N/A,No,eng,https://www.glassdoor.com/Reviews/Employee-Review-Bio-Reference-Labs-RVW83208542.htm,3,3,3,3,2,4,0,0,,Company - Public,$500 million to $1 billion (USD),,,,"Elmwood Park, NJ",4766,"https://www.glassdoor.com/Overview/Working-at-Bio-Reference-Labs-EI_IE4766.11,29.htm","Quest Diagnostics,Labcorp",,
20,Hermès,40828875,2021-01-16,New York,NY,France,"Department, Clothing & Shoe Stores",Amazing work environment and company culture. Everyone in the company makes you feel welcome and ...,5,Marketing/PR Intern,INTERN,0,Amazing work environment and company culture. Everyone in the company makes you feel welcome and ...,Not enough growth opportunities within the company after internship,,N/A,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW40828875.htm,5,4,5,4,4,4,0,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
