#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,UniqueID
11,Daehan Life,,[redacted],[redacted],57956,Suncheon,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1168111756,S. Korean State Commercial Registry Business Registration Number,False,6099,Functions related to deposit banking,,,M,1946,0,[redacted],,[redacted],[redacted],[redacted],,Estimated,Estimated,5000,5000,None or Not Available,Corporation,SingleLocation,1062080103359,822050000,824720383,KRW,Modeled,127.4860373,34.9479283,1,0801279743
12,"FOODIST Co., Ltd.",,[redacted],[redacted],04303,Seoul,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,7118101637,S. Korean State Commercial Registry Business Registration Number,False,5141,"Groceries, general line",,,M,2020,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,2830,2830,None or Not Available,Corporation,SingleLocation,789448000000,659978528,662122431,KRW,Actual,126.9977851,37.568295,1,0806737338
13,"T`way Air Co., Ltd.",,[redacted],[redacted],07505,Seoul,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1018194800,S. Korean State Commercial Registry Business Registration Number,False,4512,"Air transportation, scheduled",,,M,2003,4,[redacted],President,[redacted],[redacted],[redacted],,Actual,Modeled,2085,5000,Exports,Corporation,HQ,214395000000,179234220,179816452,KRW,Actual,126.9977851,37.568295,1,0799581628
14,"ROTEM CO.,LTD",,[redacted],[redacted],51407,Changdong-ri,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,6088137486,S. Korean State Commercial Registry Business Registration Number,False,3743,Railroad equipment,,,M,2008,0,[redacted],,[redacted],[redacted],[redacted],,Estimated,Estimated,0,3685,None or Not Available,Corporation,HQ,308963921189,239138075,239914901,KRW,Modeled,128.3786163,37.6081963,1,0801278699
15,Korea Financial Telecommunications & Clearings Institute,KFTC,[redacted],[redacted],06220,Seoul,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,2208201439,S. Korean State Commercial Registry Business Registration Number,False,6099,Functions related to deposit banking,,,M,1984,3,[redacted],President,[redacted],[redacted],[redacted],,Actual,Modeled,707,5924,None or Not Available,Non profit organization,HQ,99378000000,88247664,88534331,KRW,Actual,126.9977851,37.568295,1,0799133627
16,FILA HOLDINGS CORPORATION,,[redacted],[redacted],05340,Seoul,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1148144271,S. Korean State Commercial Registry Business Registration Number,False,5611,Men's and boys' clothing stores,,,M,1991,83,[redacted],President,[redacted],[redacted],[redacted],,Actual,Modeled,58,3200,Exports,Corporation,HQ,3793959000000,3171749724,3182052976,KRW,Actual,126.9977851,37.568295,1,0798934231
17,"Baeksang Corporation Co.,Ltd.",,[redacted],[redacted],04158,Seoul,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1058133654,S. Korean State Commercial Registry Business Registration Number,False,8741,Management services,,,M,1983,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,2918,2918,None or Not Available,Corporation,SingleLocation,86525000000,72334900,72569875,KRW,Actual,126.9977851,37.568295,1,0799296163
18,NATIONAL PENSION CHUNCHEON AGENCY,,[redacted],[redacted],34422,Daejeon,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,3058213411,S. Korean State Commercial Registry Business Registration Number,False,6399,"Insurance carriers, nec",,,M,2008,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,3090,3090,None or Not Available,Corporation,SingleLocation,1163350576671,887636490,890519927,KRW,Modeled,127.4224662,36.3300993,1,0801283484
19,Adwins Communication,,[redacted],[redacted],04098,Seoul,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,2118708393,S. Korean State Commercial Registry Business Registration Number,False,3955,Carbon paper and inked ribbons,,,M,2002,0,[redacted],,[redacted],[redacted],[redacted],,Estimated,Estimated,2840,2840,None or Not Available,Corporation,SingleLocation,863000000,949300,952383,KRW,Actual,126.9977851,37.568295,1,0798453497
20,KOREA ELECTRICAL SAFTY CORPORATION,,[redacted],[redacted],52782,Jinju,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,6138206295,S. Korean State Commercial Registry Business Registration Number,False,8734,Testing laboratories,,,M,2009,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,2826,2826,None or Not Available,Corporation,SingleLocation,364617450,271640,272522,KRW,Modeled,128.0829994,35.1921875,1,0668953555
