#,ID,Name,Straße und Nummer,Postleitzahl,Stadt,Amtsgericht,Registerart,Registernummer,Rechtsform,Gründungsdatum,Stammkapital,Unternehmensgegenstand,Branche (Code),Branche (Titel),Geschäftsführung 1,Geschäftsführung 2,Geschäftsführung 3,Implisense Profil
11,DE4B8ATK9R52,InnoManic UG (haftungsbeschränkt),Bahnhofstraße 29,89537,Giengen an der Brenz,Ulm,HRB,747391,Gesellschaft mit beschränkter Haftung,02.01.2024,"2.000,00 €","Die Entwicklung, der Vertrieb und Betrieb von innovativen Softwareprodukten und digitale Plattfor...",J62.01,Programmierungstätigkeiten,Oguzhan Karaca,Mohamed Tek,,https://implisen.se/DE4B8ATK9R52
12,DEJ9OBGJIY12,H3 Energy Service GmbH,Landsberger Straße 57,82266,Inning a.Ammersee,München,HRB,290481,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €","Der Service, die Instandhaltung, die Befundung und Optimierung von Kessel- und Industrieanlagen i...",C33.12,Reparatur von Maschinen,René Heinemann,,,https://implisen.se/DEJ9OBGJIY12
13,DE4790GBJT45,Samskara Germany e.V.,"Unterhachinger Straße 27, c/o Girikrishnan Radhamma Gopalakrishnan",85521,Ottobrunn,München,VR,210288,Eingetragener Verein,02.01.2024,"0,00 €",,,,,,,
14,DEZDAXCS1K80,Jungtier- und Gelege- Rettung e.V.,,,Nordhorn,Osnabrück,VR,202428,Eingetragener Verein,02.01.2024,"0,00 €",,,,,,,
15,DEXPQS5LH762,ARTEDinoi GmbH,Gutenbergstraße 38,70736,Fellbach,Stuttgart,HRB,793193,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €","Der Verkauf von Produkten im Online-Vertrieb, insbesondere von Kunstwerken, sowie Onlinemarketing...",G47.91,Versand- und Internet-Einzelhandel,Gregorio Paolo Dinoi,,,https://implisen.se/DEXPQS5LH762
16,DESQP4M0RY29,LN16 HoldCo GmbH & Co. KG,Echinger Straße 49,85716,Unterschleißheim,München,HRA,118894,Kommanditgesellschaft,02.01.2024,,,,,,,,https://implisen.se/DESQP4M0RY29
17,DERYAO6MVJ42,Pleßl Agrar GmbH & Co. KG,Dietersheimer Straße 11,85375,Neufahrn,München,HRA,118885,Kommanditgesellschaft,02.01.2024,,,,,,,,https://implisen.se/DERYAO6MVJ42
18,DEYJMOONFG73,monapure GmbH,Brotteroder Straße 3,12249,Berlin,Berlin (Charlottenburg),HRB,259453,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €","Einkauf, Vermarktung sowie Verkauf/Vertrieb von Nahrungsergänzungsmitteln. Anbieten von Online-Ku...",G47.99,"Sonstiger Einzelhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten",Damijan Silic,,,https://implisen.se/DEYJMOONFG73
19,DE4TPHOXUY58,Mons-Tabor Immobilien Vorratsgesellschaft 5 UG (haftungsbeschränkt) & Co. KG,Stauffenbergallee 3,56410,Montabaur,Montabaur,HRA,23058,Kommanditgesellschaft,02.01.2024,,,,,,,,https://implisen.se/DE4TPHOXUY58
20,DESHWLHA1Z38,Mitras F414 GmbH,Westendstraße 28,60325,Frankfurt am Main,Frankfurt am Main,HRB,134348,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €",ist die Verwaltung eigenen Vermögens.,K64.20,Beteiligungsgesellschaften,Nicolas Rudolf Braas,,,https://implisen.se/DESHWLHA1Z38
