#,Longitude,Latitude,GeoLevelDescription,ID,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevelDescription
11,-0.09205905,51.5134829,RoofTop,0343988968,INTESA SANPAOLO S.P.A,Intesa Sanpaolo Spa,[redacted],[redacted],EC4N 1SA,Moorgate,London,"England, London",UnitedKingdom,ENG,[redacted],[redacted],[redacted],[redacted],http://www.intesasanpaolo.com,FC016201,UK CRO Number,False,6159,Miscellaneous business credit institutions,64929,UK Standard Industry Code 2007,M,2005,3811,[redacted],Director,[redacted],[redacted],[redacted],,Actual,Actual,100172,100172,Imports & Exports,Foreign company,SingleLocation,36218000000,42832529558,36218000000,EUR,Actual,-0.09205905,51.5134829,RoofTop
12,-81.186527349999992,36.1527466,RoofTop Derived,0129921386,"Lowe's Home Centers, LLC",Lowe's,[redacted],[redacted],28697,Wilkesboro,Wilkes,North Carolina,USA,ENG,[redacted],[redacted],[redacted],[redacted],https://www.lowes.com/store/?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-res-_-1998-_-na-_-0-_-0,,,,5211,Lumber and other building materials,,,M,1958,2040,[redacted],President,[redacted],[redacted],[redacted],,Actual,Actual,2000,209850,Imports & Exports,Corporation,HQ,1065615247,1065615247,1069076838,USD,Modeled,-81.186527349999992,36.1527466,RoofTop Derived
13,112.1204758,26.7805557,City,0660460298,"China Telecom Corporation Co., Ltd. Qidong Branch Xiangyang Sub-Bureau",,[redacted],[redacted],226237,Qidong,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,91320681MA1MA4DN,China Business Registration Number,False,4899,"Communication services, nec",,,M,2003,0,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,312520,312520,None or Not Available,Not available,SingleLocation,47408253,7229000,7082061,CNY,Modeled,112.1204758,26.7805557,City
14,145.0613481,-37.9095602,House,0864830214,A.C.N. 007 870 484 PTY LTD,HARRIS TECHNOLOGY,[redacted],[redacted],3165,Melbourne,Victoria,,Australia,ENG,[redacted],[redacted],[redacted],[redacted],,007870484,Australia Company Number,False,5045,"Computers, peripherals, and software",,,,1918,1276,[redacted],Director,[redacted],[redacted],[redacted],,Estimated,Estimated,223000,223000,None or Not Available,Corporation,SingleLocation,68444000000,51077635436,51243558297,AUD,Actual,145.0613481,-37.9095602,House
15,-76.3004719,3.5097584,House,0797707363,MORALES PUENTES ARACELLY,,[redacted],[redacted],,Palmira,Valle del Cauca,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,5499,Miscellaneous food stores,,,M,2020,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,310000,310000,None or Not Available,Not available,SingleLocation,35012000,8718,8540,COP,Actual,-76.3004719,3.5097584,House
16,150.9503569,-33.736450149999996,RoofTop,0863017664,NALOS PTY LTD,,[redacted],[redacted],2153,Sydney,New South Wales,,Australia,ENG,[redacted],[redacted],[redacted],[redacted],https://www.woolworthsgroup.com.au,002946821,Australia Company Number,False,5411,Grocery stores,,,M,1985,411,[redacted],Director,[redacted],[redacted],[redacted],,Estimated,Estimated,215000,215000,None or Not Available,Corporation,SingleLocation,55694000000,43129656376,43269760668,AUD,Actual,150.9503569,-33.736450149999996,RoofTop
17,114.1201772,22.5543164,City,0765621126,Byd Company Limited,BYD,[redacted],[redacted],518000,Shenzhen,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,440301501127941,China Business Registration Number,False,3691,Storage batteries,,,M,1995,515,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,288186,Imports & Exports,Joint venture,HQ,216142395000,33808993426,33121784312,CNY,Actual,114.1201772,22.5543164,City
18,-75.82798,4.33447,City,01066128183,OROZCO OSORIO LUZ ELENA,,[redacted],[redacted],,Caicedonia,Valle del Cauca,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,0181,Ornamental nursery products,,,M,2020,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,250000,250000,None or Not Available,Not available,SingleLocation,4356828194,989000,968897,COP,Modeled,-75.82798,4.33447,City
19,150.9503569,-33.736450149999996,RoofTop,0864304634,WOOLWORTHS (VICTORIA) PTY LIMITED,PURITY SUPERMARKETS,[redacted],[redacted],2153,Sydney,New South Wales,,Australia,ENG,[redacted],[redacted],[redacted],[redacted],https://www.woolworthsgroup.com.au,004177155,Australia Company Number,False,5961,Catalog and mail-order houses,,,M,1932,411,[redacted],Director,[redacted],[redacted],[redacted],,Estimated,Estimated,215000,215000,None or Not Available,Corporation,SingleLocation,55694000000,43129656376,43269760668,AUD,Actual,150.9503569,-33.736450149999996,RoofTop
20,77.6768463,12.8402302,Street,0761199846,INFOSYS LIMITED,INFOSYS,[redacted],[redacted],560100,Bengaluru,Karnataka,,India,ENG,[redacted],[redacted],[redacted],[redacted],http://www.infosys.com,29AAACI4798L1ZU,India Goods & Services (Gst) Id,True,7371,Custom computer programming services,,,M,1992,404,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],,Estimated,Estimated,0,201153,Imports & Exports,Corporation,HQ,1039400000000,13952905600,13998230838,INR,Actual,77.6768463,12.8402302,Street
