#,ID,CompanyName,TradeName,DirectoryName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,WebDomain,WebSocialMedialinksFacebook,WebSocialMedialinksTwitter,GenericLinkedInLink,GenericLinkedInCompanyID,GenericLinkedInFollowers,WebsiteIpAddress,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,IsPublished,PublishingStrength,GenericOpeningHours,Longitude,Latitude,GeoLevel,GeoLevelDescription,DomesticUltimateUniqueID,DomesticUltimateBusinessName,DomesticUltimateStreetAddress,DomesticUltimateCityName,DomesticUltimatePostalCode,DomesticUltimateProvince,DomesticUltimateCountry,DomesticUltimateCountryCode,GlobalUltimateUniqueID,GlobalUltimateBusinessName,GlobalUltimateStreetAddress,GlobalUltimateCityName,GlobalUltimatePostalCode,GlobalUltimateProvince,GlobalUltimateCountry,GlobalUltimateCountryCode,ParentUniqueID,ParentBusinessName,ParentStreetAddress,ParentCityName,ParentPostalCode,ParentProvince,ParentCountry,ParentCountryCode,Exec01Position,Exec01FullName,Exec01Title,Exec01TitleCode,Exec01FirstName,Exec01LastName,Exec01Gender,Exec01GenderCode,Exec01LangPref,Exec01LangPrefCode,FinancialHistory01UniqueID,FinancialHistory01SalesVolume,FinancialHistory01SalesVolumeDollars,FinancialHistory01SalesVolumeEuros,FinancialHistory01Currency,FinancialHistory01EmployeesHere,FinancialHistory01EmployeesTotal,FinancialHistory01FamilyMembers,FinancialHistory01SalesVolumeReliabilityCode,FinancialHistory01SalesVolumeReliabilityCodeDescription,FinancialHistory01EmployeesHereReliabilityCode,FinancialHistory01EmployeesHereReliabilityCodeDescription,FinancialHistory01EmployeesTotalReliabilityCode,FinancialHistory01EmployeesTotalReliabilityCodeDescription,FinancialHistory01YearStat,FinancialHistory01Version
11,01066152475,PORTILLO PLAZA JHONATAN STEVEN,,PORTILLO PLAZA JHONATAN STEVEN,[redacted],[redacted],,Pasto,Nariño,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],,,,5571,Motorcycle dealers,,,M,2020,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,500000,500000,None or Not Available,Not available,SingleLocation,3118942731,708000,693609,COP,Modeled,True,0,,-77.2617202,1.2093074,2,Street,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Representative,182,[redacted],[redacted],Not Available,0,Spanish,90,01066152475,2631970260,708000,605050,COP,500000,500000,0,3,Modeled,0,Actual,0,Actual,2022,20220526
12,0693547873,JUDO CLUB SAINT VAASTAIS,,JUDO CLUB SAINT VAASTAIS,[redacted],[redacted],50550,Saint-Vaast-la-Hougue,Manche,Basse-Normandie,France,FRE,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],33379878300010,France Siret Number,False,7999,"Amusement and recreation, nec",9312Z,NAF2 (NOMENCLATURE D'ACTIVITE FRANCAISE ver 2),,1985,0,[redacted],,[redacted],[redacted],[redacted],,Actual,Actual,500000,500000,None or Not Available,Cooperative,SingleLocation,2364868,2525000,2364868,EUR,Modeled,,0,,-1.2680070,49.5877195,3,House,,,,,,,,,,,,,,,,,,,,,,,,,,[redacted],,,[redacted],[redacted],,,,,,,,,,,,,,,,,,,,
13,0992224017,JARAMILLO MARTINEZ CAROLINA,,JARAMILLO MARTINEZ CAROLINA,[redacted],[redacted],,Manizales,Caldas,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],340008531,Colombian National Tributary Id Number,True,5013,Motor vehicle supplies and new parts,,,M,2006,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,515000,515000,None or Not Available,Not available,SingleLocation,4691629956,1065000,1043352,COP,Modeled,True,0,,-75.5219839,5.0631376,3,House,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Representative,182,[redacted],[redacted],Not Available,0,Spanish,90,0992224017,3915441176,1065000,910139,COP,515000,515000,0,3,Modeled,0,Actual,0,Actual,2022,20220428
14,0764824450,China Nat Ional Petroleum Corporation,,China Nat Ional Petroleum Corporation,[redacted],[redacted],100000,Beijing,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],100000000010438,China Business Registration Number,False,1382,Oil and gas exploration services,,,M,1990,33174,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,1128767,None or Not Available,Corporation,HQ,2807275070000,439113966449,430188438386,CNY,Actual,,,,116.3863398,39.9308381,1,City,0656068826,State-owned Assets Supervision and Administration Commission of the State Council,"No.26, Xuanwumen (W) Ave.",Beijing,100053,Beijing,China,CN,0656068826,State-owned Assets Supervision and Administration Commission of the State Council,"No.26, Xuanwumen (W) Ave.",Beijing,100053,Beijing,China,CN,0656068826,State-owned Assets Supervision and Administration Commission of the State Council,"No.26, Xuanwumen (W) Ave.",Beijing,100053,Beijing,China,CN,1,[redacted],Legal Representative,1043,[redacted],[redacted],Male,20,,,0764824450,2087146800000,317102300471,270992666361,CNY,0,1128767,99999,0,Actual,2,Estimated,2,Estimated,2022,20220228
15,0621225378,MIZAEL JEAN PIERRE,,MIZAEL JEAN PIERRE,[redacted],[redacted],20137,Lecci,Corse-du-Sud,Corse,France,FRE,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],40524988900024,France Siret Number,False,8249,"Vocational schools, nec",8532Z,NAF2 (NOMENCLATURE D'ACTIVITE FRANCAISE ver 2),,1990,0,[redacted],Proprietor,[redacted],[redacted],[redacted],,Actual,Actual,500000,500000,None or Not Available,Proprietorship,SingleLocation,693820,783000,693820,EUR,Modeled,,0,,9.3175874,41.6798264,1,City,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Proprietor,6,[redacted],[redacted],Male,20,,,,,,,,,,,,,,,,,,
16,0113068848,United States Department of Defense,,United States Department of Defense,[redacted],[redacted],20301,Washington,District of Columbia,District of Columbia,USA,ENG,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],,,,9711,National security,,,M,1947,66023,[redacted],Principal,[redacted],[redacted],[redacted],,Modeled,Actual,475,1369022,Imports & Exports,Corporation,HQ,0,0,0,,Modeled,,0,,-77.0199124,38.8920621,1,City,0273017304,Government of The United States,1600 Pennsylvania Ave NW,Washington,205000005,District of Columbia,United States of America,US,0273017304,Government of The United States,1600 Pennsylvania Ave NW,Washington,205000005,District of Columbia,United States of America,US,0273017189,Executive Office of The United States Government,1600 Pennsylvania Ave NW,Washington,205000005,District of Columbia,United States of America,US,1,[redacted],Principal,107,[redacted],[redacted],Not Available,0,,,0113068848,0,0,0,USD,5000,1369022,65926,2,Estimated,0,Actual,0,Actual,2021,20210223
17,0114372356,United States Postal Service,US Post Office,United States Postal Service,[redacted],[redacted],20260,Washington,District of Columbia,District of Columbia,USA,ENG,[redacted],[redacted],[redacted],[redacted],www.usps.com,usps.com,,,https://www.linkedin.com/company/us-post-offfice,4483316,995,[redacted],,,,4311,U.s. postal service,,,M,1776,33427,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],,Modeled,Actual,1197,634000,Imports & Exports,Corporation,HQ,0,0,0,,Modeled,,28,,-77.0261103,38.8842133,3,House,0114372356,United States Postal Service,475 Lenfant Plz SW,Washington,202600004,District of Columbia,United States of America,US,0114372356,United States Postal Service,475 Lenfant Plz SW,Washington,202600004,District of Columbia,United States of America,US,0114372356,United States Postal Service,475 Lenfant Plz SW,Washington,202600004,District of Columbia,United States of America,US,1,[redacted],Chief Executive Officer,260,[redacted],[redacted],Not Available,0,,,0114372356,70660000000,70660000000,60385376506,USD,50,634000,34802,0,Actual,2,Estimated,2,Estimated,2021,20210826
18,0765813244,State Power Corporation,,State Power Corporation,[redacted],[redacted],100031,Beijing,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],100000000024571,China Business Registration Number,False,4911,Electric services,,,M,1996,682,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,927839,None or Not Available,Corporation,HQ,614297942665,90995954247,89146350259,CNY,Modeled,,,,116.3863398,39.9308381,1,City,0765813244,State Power Corporation,"No.137, Fuyou Street, Xicheng District",Beijing,100031,Beijing,China,CN,0765813244,State Power Corporation,"No.137, Fuyou Street, Xicheng District",Beijing,100031,Beijing,China,CN,0765813244,State Power Corporation,"No.137, Fuyou Street, Xicheng District",Beijing,100031,Beijing,China,CN,1,[redacted],Legal Representative,1043,[redacted],[redacted],Not Available,0,,,0765813244,581741172785,90995954247,77764293203,CNY,0,927839,460,3,Modeled,2,Estimated,2,Estimated,2022,20220128
19,0790869305,MARIA DOLORITAS RESTREPO GARCIA,,MARIA DOLORITAS RESTREPO GARCIA,[redacted],[redacted],,Manizales,Caldas,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],,,,5961,Catalog and mail-order houses,,,M,2021,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,550000,550000,None or Not Available,Not available,SingleLocation,3118942731,708000,693609,COP,Modeled,True,0,,-75.4803463,5.0491463,3,House,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Representative,182,[redacted],[redacted],Not Available,0,Spanish,90,0790869305,182170543,47000,40165,COP,1,1,0,3,Modeled,3,Modeled,3,Modeled,2022,20220428
20,0660135993,China Unicom Yangzhou Branch,,China Unicom Yangzhou Branch,[redacted],[redacted],225009,Yangzhou,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],,,,4899,"Communication services, nec",,,,2000,0,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,463000,463000,None or Not Available,Not available,SingleLocation,44437449,6776000,6638269,CNY,Modeled,,,,119.1728325,32.2652735,1,City,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Legal Representative,1043,[redacted],[redacted],Not Available,0,,,0660135993,50368763,7287000,6227402,CNY,463000,463000,0,3,Modeled,2,Estimated,2,Estimated,2022,20220526
