#,date,AWIS_Station_ID,AWIS_state,Latitude,Longitude,Max_Temp,Min_Temp,Precip,Avg_WS,Avg_CC,Max_RH,Min_RH,Evap,PEvap,Sunshine,Solar_rad,Veg_Wet,MaxST,MinST,AVGst
31,07/04/2022,CXPA,CN_AB,55.62,-118.3,71.6,38.1,0,4,999999,97,38,999999,0.21,999999,999999,0,80.6,47,63.8
32,07/04/2022,CXOY,CN_AB,51.38,-110.35,66.6,49.1,0.06,6,999999,96,54,999999,0.16,999999,999999,0,75.2,57.7,66.4
33,07/04/2022,KACQ,mn,44.07,-93.55,86,62.6,0.12,9,10,77,45,0.3,0.28,13,7732,1,92.7,69.3,81
34,07/04/2022,KSWW,tx,32.47,-100.47,98.8,75.4,0,10,35,66,21,0.51,0.43,9,6514,0,104.5,81.1,92.8
35,07/04/2022,KLXT,mo,38.96,-94.37,89.1,71.1,0,6,35,97,63,0.25,0.18,7,5469,1,93.9,75.9,84.9
36,07/04/2022,KFKA,mn,43.68,-92.18,82,61,0.02,7,1,84,51,0.24,0.25,15,8576,0,90,69,79.5
37,07/04/2022,KCPC,nc,34.27,-78.71,95.4,73.4,0.27,3,31,96,46,0.32,0.25,11,7269,7,96,74,85
38,07/04/2022,KGWW,nc,35.46,-77.96,95,71.2,0.24,2,59,100,45,0.29,0.18,6,5260,0,96.8,73,84.9
39,07/04/2022,KMPZ,ia,40.95,-91.51,87.8,62.6,0,6,1,100,45,0.28,0.26,15,8577,0,94.1,68.9,81.5
40,07/04/2022,KPEA,ia,41.4,-92.95,86.2,63.3,0.15,7,17,93,50,0.26,0.25,12,7390,1,94.8,71.9,83.3
41,07/04/2022,KEYF,nc,34.6,-78.58,95.7,72.9,1.05,4,53,99,47,0.35,0.23,7,5673,12,96.5,73.7,85.1
42,07/04/2022,KHNZ,nc,36.36,-78.53,90.1,64.9,0,3,4,99,46,0.28,0.25,14,8207,0,97.1,71.9,84.5
43,07/04/2022,ANAU,NW,-0.53,166.92,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
44,07/04/2022,BGBW,GL,61.18,-45.42,62.6,48.2,0.01,5,69,82,45,0.14,0.12,6,5051,1,999999,999999,999999
45,07/04/2022,BGCO,GL,70.75,-22.65,54.7,43.5,0,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
46,07/04/2022,BGGH,GL,64.19,-51.68,63.1,46.6,0,7,61,76,39,0.15,0.14,8,5683,0,999999,999999,999999
47,07/04/2022,BGJN,GL,69.23,-51.07,61.9,46.4,0,5,8,66,38,0.12,0.16,22,9514,0,999999,999999,999999
48,07/04/2022,BGKK,GL,65.58,-37.15,50,32,0.01,6,49,100,57,0.09,0.1,11,6477,9,999999,999999,999999
49,07/04/2022,BGSF,GL,67.02,-50.7,64.9,41.9,0,8,43,70,27,0.17,0.2,14,6948,0,999999,999999,999999
50,07/04/2022,BGTL,GL,76.53,-68.75,46.4,35.6,0.01,9,57,100,100,0.07,0.1,10,6247,5,999999,999999,999999
