#,UniqueID,BusinessName,Address1,PostCode,City,Province,Country,Phone,Fax,Mobile,PhoneOrMobile,Email,Website,NationalID,Latitude,Longitude,GeolevelLabel,InternationalCode,InternationalLabel,Language,CEOName,CEOTitle,CEOFirstName,CEOLastName,YearStarted,SalesVolume,Currency,EmployeesTotal,StatusCodeName,FamilyMembers,LegalStatus,ImportExportAgent
26,01004139256,"SPETSPOSTAVSHCHIK, OOO",[redacted],302030,Orel,Orlovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,46384974,52.9653434,36.0741468,House,5039,"Construction materials, nec",RUL,[redacted],Director,[redacted],[redacted],2020,1959000,RUB,3,Single Location,0,Corporation,None or Not Available
27,0618170593,"DPA, OOO",[redacted],454079,Chelyabinsk,Chelyabinskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],http://www.rdk-dpa.ru,51490069,55.1563140,61.5031707,Street,3643,Current-carrying wiring services,RUL,[redacted],Director,[redacted],[redacted],2014,165779000,RUB,23,Single Location,0,Corporation,None or Not Available
28,0642672439,"UPFR V LYUDINOVSKOM RAIONE KALUZHSKOI OBLASTI (MEZHRAIONNOE), FKU",[redacted],249406,Lyudinovo,Kaluzhskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,55693958,53.8741836,34.4421643,House,6399,"Insurance carriers, nec",RUL,[redacted],Principal,[redacted],[redacted],2001,573971689,RUB,100,Single Location,6288,,None or Not Available
29,0793277443,"REDO, OOO",[redacted],454038,Chelyabinsk,Chelyabinskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,78847743,55.2381510,61.4118291,House,5199,"Nondurable goods, nec",RUL,[redacted],Director-General,[redacted],[redacted],2006,32162000,RUB,6,Single Location,0,Corporation,None or Not Available
30,0469299194,"TEREMOK, MBU",[redacted],142118,Podolsk,Moskovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,45716724,55.4145477,37.5249821,House,8211,Elementary and secondary schools,RUL,[redacted],Principal,[redacted],[redacted],1996,425435852,RUB,100,Single Location,0,,None or Not Available
31,0467190629,"KRYMSKVTORSYRE, OOO",[redacted],353389,Krymsk,Krasnodarskiy kray,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,14804908,44.9214798,38.0187331,House,4953,Refuse systems,RUL,[redacted],Director,[redacted],[redacted],2003,13219000,RUB,4,Single Location,0,Corporation,None or Not Available
32,0642357421,"OTDEL PO KULTURE I DELAM MOLODEZHI ADMINISTRATSII BAEVSKOGO RAIONA ALTAISKOGO KRAYA, MKU",[redacted],658510,,,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,02195108,,,Not geocoded,9199,"General government, nec",RUL,[redacted],Manager,[redacted],[redacted],1991,126217855,RUB,15,Single Location,0,,None or Not Available
33,0470460740,"REINTEL KOM, OOO",[redacted],123308,Moskva,Moskva,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,58563469,55.7694970,37.5153265,House,6531,Real estate agents and managers,RUL,[redacted],Director-General,[redacted],[redacted],2002,40209000,RUB,1,Single Location,0,Corporation,None or Not Available
34,0467234350,"SU NOVO-STERLITAMAKSKOI TETS, OOO",[redacted],453115,,,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,15297425,,,Not geocoded,1531,Operative builders,RUL,[redacted],Director-General,[redacted],[redacted],2003,17131000,RUB,12,Single Location,0,Corporation,None or Not Available
35,0474620046,"K.S, OOO",[redacted],606000,Dzerzhinsk,Nizhegorodskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,63268063,56.2402096,43.4925960,House,1531,Operative builders,RUL,[redacted],Director-General,[redacted],[redacted],2009,18064106,RUB,2,Single Location,0,Corporation,None or Not Available
36,0469326359,"MOU DETSKI SAD N 279, MBU",[redacted],400082,Volgograd,Volgogradskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,46032979,48.5210350,44.5577755,House,8211,Elementary and secondary schools,RUL,[redacted],Principal,[redacted],[redacted],1997,425110076,RUB,100,Single Location,26,,None or Not Available
37,0642768206,"VOZROZHDENIE, TOS",[redacted],443035,Samara,Samarskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,88557638,53.2325000,50.2371581,House,8322,Individual and family services,RUL,[redacted],Principal,[redacted],[redacted],2008,12723879,RUB,3,Single Location,0,Non profit organization,None or Not Available
38,0632550160,"T-SISTEMS, OOO",[redacted],198320,Krasnoye Selo,Sankt-Peterburg,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,31050049,59.7330664,30.0879307,House,7379,"Computer related services, nec",RUL,[redacted],Director-General,[redacted],[redacted],2014,3352000,RUB,1,Single Location,0,Corporation,None or Not Available
39,0467302831,"INNOVATSI RK, FOND",[redacted],167982,Syktyvkar,Komi respublika,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,16936590,61.6669607,50.8289904,House,6099,Functions related to deposit banking,RUL,[redacted],Director,[redacted],[redacted],1994,78130617,RUB,5,Single Location,87,Partnership of unknown type,None or Not Available
40,0793242116,"UDTS, UCH",[redacted],115407,Moskva,Moskva,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,78487322,55.6834809,37.6893813,House,8211,Elementary and secondary schools,RUL,[redacted],Director,[redacted],[redacted],2005,42511008,RUB,10,Single Location,0,,None or Not Available
41,0613939820,"UMITTS, UCH",[redacted],305029,Kursk,Kurskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,68274022,51.7586929,36.1873876,House,8221,Colleges and universities,RUL,[redacted],Director,[redacted],[redacted],2010,13164000,RUB,50,Single Location,0,,None or Not Available
42,0617535610,"MAGE DEVEL, OOO",[redacted],426011,Izhevsk,Udmurtskaya respublika,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,24486214,56.8719991,53.2514986,House,7371,Custom computer programming services,RUL,[redacted],Director,[redacted],[redacted],2013,9132327,RUB,1,Single Location,0,Corporation,None or Not Available
43,0632614550,"LEGIONER, OOO",[redacted],367008,Makhachkala,Dagestan respublika,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,25106900,42.9704714,47.4124656,House,7381,Detective and armored car services,RUL,[redacted],Director-General,[redacted],[redacted],2014,12438000,RUB,11,Single Location,0,Corporation,None or Not Available
44,0642867188,"DIREKT FINANS, OOO",[redacted],105484,Moskva,Moskva,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,62698436,55.8084790,37.8329876,House,8721,"Accounting, auditing, and bookkeeping",RUL,[redacted],Director-General,[redacted],[redacted],2009,1301000,RUB,1,Single Location,0,Corporation,None or Not Available
45,0473462889,"ENERGOPROFIT, OOO",[redacted],198206,Sankt-Peterburg,Sankt-Peterburg,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,00503244,59.8466704,30.1577819,Street,5084,Industrial machinery and equipment,RUL,[redacted],Director-General,[redacted],[redacted],2016,273835000,RUB,2,Single Location,0,Corporation,None or Not Available
46,0642485913,ADMINISTRATSIYA STAROALZAMAISKOGO MUNITSIPALNOGO OBRAZOVANIYA-ADMINISTRATSIYA SELSKOGO POS,[redacted],665161,,,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,04147545,,,Not geocoded,9199,"General government, nec",RUL,[redacted],Principal,[redacted],[redacted],1993,84647580,RUB,10,Single Location,0,,None or Not Available
47,0645926323,"SHCHIGROVSKI KKHP, AO",[redacted],306530,Shchigry,Kurskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,00933393,51.87188,36.91592,City,2048,"Prepared feeds, nec",RUL,[redacted],Board Member,[redacted],[redacted],1993,4186788000,RUB,318,HQ,2,Corporation,None or Not Available
48,0465872335,"TSRI EKO-LUG, NP",[redacted],143033,Gorki-2,Moskovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,70474863,55.72342,37.16531,City,6531,Real estate agents and managers,RUL,[redacted],Chairman,[redacted],[redacted],2004,5316253,RUB,1,Single Location,0,Partnership of unknown type,None or Not Available
49,0467721854,"BARTI, OOO",[redacted],305040,Kursk,Kurskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,23007973,51.7560736,36.1246990,House,3161,Luggage,RUL,[redacted],Director,[redacted],[redacted],1995,7579194,RUB,1,Single Location,0,Corporation,None or Not Available
50,0610158401,"TNK AIS, OOO",[redacted],196084,Sankt-Peterburg,Sankt-Peterburg,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],http://tnkspb.ru,03401596,59.8923214,30.3300609,House,5039,"Construction materials, nec",RUL,[redacted],Director-General,[redacted],[redacted],2016,41167000,RUB,6,Single Location,0,Corporation,None or Not Available
