title,list_time,series_name,company_name,industry,data_type,product_type,description,keyword,update_frequency,coverage,storage,storage_incr,dimension,use_case,url,category,category_aws
企业网信估值报告,2024-04-17,模估智能,上海富由大数据科技股份有限公司,综合,企业,数据应用,系统可基于企业公开信息的生成企业网信估值报告。根据企业的基础数据生成详尽的企业画像报告。,估值报告，大数据,"动态
(每日更新)",全国,1 TB,1 MB,500.0,"

一家投资咨询公司计划进行投资组合的评估，但缺乏各家公司的财务数据。希望通过公开信息生成多家公司的全方位画像报告。系统根据企业的基础数据，如行业地位、市场表现、知识产权等，提供了客观全面的评估。

",https://nidts.chinadep.com/ep-hall/spec?id=4661,综合,"Retail, Location & Marketing Data"
企业精简估值报告,2024-04-17,模估智能,上海富由大数据科技股份有限公司,综合,企业,数据应用,产品旨在为企业用户快速提供企业估值报告。用户需提供公司财务数据、未来预期等信息。系统将依据企业估值结果和信息进行计算，生成5页的企业估值报告。用户可根据报告辅助投资决策、融资谈判等。,估值报告，大数据,"动态
(每日更新)",全国,1 TB,1 MB,500.0,"

一家新兴科技初创公司，计划未来参与投融资活动，希望对公司的估值有持续的跟踪。他们使用企业估值报告服务来评估公司价值和未来增长潜力。通过提供简单的财务数据，系统生成了一份5页估值报告。该报告为他们提供了对公司价值的清晰认识。这样的持续跟踪使他们能够及时调整战略，应对市场变化，更好地实现公司的增长目标。

",https://nidts.chinadep.com/ep-hall/spec?id=4660,综合,"Retail, Location & Marketing Data"
企业专业版估值报告,2024-04-17,模估智能,上海富由大数据科技股份有限公司,综合,企业,数据应用,基于深度数据分析和市场趋势预测，生成详尽的估值报告。报告包含深度财务分析、未来预测和竞争对手比较等内容，为用户提供全面的决策支持。这一专业级别的报告可用于投资决策、并购谈判和业务规划等关键场景。,估值报告，大数据，投资决策,"动态
(每日更新)",全国,1 TB,1 MB,500.0,"

客户希望对自己的公司进行专业的估值报告，以便更好地了解公司的价值，并为未来的投融资活动做准备。他希望了解公司不同业务板块的价值贡献，同时也想在投融资谈判中更好地展示公司的潜力和价值。

",https://nidts.chinadep.com/ep-hall/spec?id=4659,综合,Financial Services Data
企业网信估值,2024-04-17,模估估,上海富由大数据科技股份有限公司,综合,企业,数据应用,系统可基于企业公开信息的生成企业初步估值结果。利用先进的算法和数据模型，该产品可以分析公司的基本信息、市场表现、行业趋势等多方面数据，无需用户交互快速生成企业估值结果。,企业估值，大数据,"动态
(每日更新)",全国,1 TB,1 MB,500.0,"

一家初创投资公司正在寻找新的投资机会。他们希望快速批量评估潜在投资目标的价值。通过系统提供的多方面数据分析，他们能够迅速了解公司的估值范围，完成快速筛选。

",https://nidts.chinadep.com/ep-hall/spec?id=4658,综合,"Retail, Location & Marketing Data"
企业快速估值,2024-04-17,模估估,上海富由大数据科技股份有限公司,综合,企业,数据应用,系统可基于企业的公开信息和少量的补充信息生成企业估值结果。利用先进的算法和数据模型，产品可以分析公司的基本信息、财务状况、市场表现、行业趋势等多方面数据，无需用户交互快速生成企业估值结果。,企业估值，大数据,"动态
(每日更新)",全国,1 TB,1 MB,500.0,"

客户希望快速对自己的公司进行估值，以便更好地了解公司的价值，并为未来的投融资活动做准备。他希望了解公司不同业务板块的价值贡献，同时也想在投融资谈判中更好地展示公司的潜力和价值。

",https://nidts.chinadep.com/ep-hall/spec?id=4655,综合,"Retail, Location & Marketing Data"
企业完整版估值报告,2024-04-17,模估智能,上海富由大数据科技股份有限公司,综合,企业,数据应用,基于深度数据分析和市场行业趋势预测，生成完整的企业估值报告。完整版企业估值报告包含全面的数据分析、深度财务分析和完整的预测模型，以及详尽的行业分析内容，可广泛应用于企业的投资决策、并购谈判、融资筹备和业务规划等关键场景。,估值报告，大数据，投资决策,"动态
(每日更新)",全国,1 TB,1 MB,500.0,"

客户希望通过快速形成不同公司的估值报告来评估不同公司的价值，以便为他的投资决策提供支持。通过系统，客户快速了解了不同公司的市场定位、潜力和竞争优势，以及可能的增长路径。

",https://nidts.chinadep.com/ep-hall/spec?id=4656,综合,"Retail, Location & Marketing Data"
市值可视化系统,2024-04-17,摩矿数据,上海富由大数据科技股份有限公司,综合,企业信息,数据应用,基于海量的的企业基本及业务数据，面向各垂直行业客户提供的标准化数据产品和定制化服务。产品依托人工智能、大数据等新金融技术，汇聚企业、投资机构、服务商、政府、园区、商会等不同属性的用户，为其提供智能分析、数据可视化和资源整合服务。,智能分析，大数据,"动态
(每日更新)",全国,1 TB,1 MB,1000.0,"

一家科技园区管理机构希望能够吸引高新技术企业入驻，提升企业估值和融资能力，同时引导产业发展。系统通过智能招商功能精准匹配企业需求，丰富园区产业结构；实时监控企业估值和融资情况，帮助制定发展策略；分析行业数据，指导产业引导。园区吸引了优质企业入驻，部分企业估值提升并获得更多融资，同时促进了本地产业结构的优化和升级。市值可视化系统全方位支持促进了地方科技产业的快速发展和经济的繁荣。

",https://nidts.chinadep.com/ep-hall/spec?id=4657,综合,"Retail, Location & Marketing Data"
企业专业估值,2024-04-17,模估估,上海富由大数据科技股份有限公司,综合,企业,数据应用,系统可基于企业的公开信息和完整的财务数据生成企业专业的估值结果。产品集成了多种金融估值模型，这些模型提供了不同的估值方法，以满足不同企业和行业的需求。,企业估值，大数据,"动态
(每日更新)",全国,1 TB,1 MB,500.0,"

客户希望对自己的公司进行专业的估值，以便更好地了解公司的价值，并为未来的投融资活动做准备。他希望了解公司不同业务板块的价值贡献，同时也想在投融资谈判中更好地展示公司的潜力和价值。

",https://nidts.chinadep.com/ep-hall/spec?id=4654,综合,"Retail, Location & Marketing Data"
宜兴市三维地理信息模型,2024-04-03,宜兴市城市三维模型,宜兴市大数据发展有限公司,综合,城市空间,数据集,宜兴市三维地理信息模型是基于卫星影像图、建筑物底面的矢量数据、建筑物实景图片信息，通过三维可视化技术，以人工建模的方式构建了宜兴市24平方公里的L3（相似度80%）级别的建筑物外立面模型。模型数据格式为FBX，可以用于场景城市级别的数字孪生场景搭建与业务绑定，形成定制化的数字孪生业务场景。,三维地理，城市交通,静态,宜兴市,6.5 GB,,30.0,"

该数据产品已应用于宜兴市城市运行管理中心项目，构建了城市大规模的城市孪生场景与业务联动。为城市整体体征、城市安全、城市治理、城市经济、城市服务等多个应用场景赋能。

",https://nidts.chinadep.com/ep-hall/spec?id=4560,综合,"Retail, Location & Marketing Data"
广东省高速市域级路网运行态势感知,2024-04-02,广东省高速路网运行态势感知系列,广科通立（广东）数据服务有限公司,航运交通,高速公路,数据应用,该产品为市域级运行态势感知应用服务，功能模块包括市级路网基础信息（联网里程、服务区数量、充电桩数量、出入口数量、ETC收费门架数量、当月日均车流量展示）、车流预测（实时车流量统计及短时预测，并形成环比展示）、事件监测、拥堵预警、特殊车辆监测等。,车流预测，拥堵预警，高速事件,"动态
(实时更新)",广东省高速公路,10 GB,10 MB,26.0,"

某区域高速公路运营管理公司业主使用该产品进行日常业务管理，全方位掌握辖区高速路网及出入辖区高速路网的运行态势，预测数据为运营管理者进行决策提供科学依据，大幅度提高了运营管理效率，提高了道路通行率，间接地增加了营业收入。

",https://nidts.chinadep.com/ep-hall/spec?id=4544,航运交通,Automotive Data
广东省高速路段级运行态势感知,2024-04-02,广东省高速路网运行态势感知系列,广科通立（广东）数据服务有限公司,航运交通,高速公路,数据应用,该产品为路段级运行态势感知应用服务，功能模块包括路段基础信息（联网里程、服务区数量、充电桩数量、出入口数量、ETC收费门架数量、当月日均车流量展示）、车流预测（实时车流量统计及短时预测，并形成环比展示）、事件监测、拥堵预警、特殊车辆监测等。,车流预测，拥堵预警，高速事件,"动态
(实时更新)",广东省高速公路,10 GB,10 MB,26.0,"

某高速公路路段业主使用该产品进行日常业务管理，全方位掌握本路段及关联路网的运行态势，预测数据为业主进行决策提供科学依据，大幅度提高了运营管理效率，提高了道路通行率，间接地增加了营业收入。

",https://nidts.chinadep.com/ep-hall/spec?id=4543,航运交通,Automotive Data
通用视频集群调度,2024-04-02,广东省高速路网运行态势感知系列,广科通立（广东）数据服务有限公司,航运交通,高速公路,数据应用,该产品区别于传统面向业务的应急指挥调度系统，其显著特点是面向公众的视频集群调度。在以电子地图、事件监测、应急物资储备与调度、路网大数据输出最佳疏散路径为底座基础上，实现了事件现场当事人与专业应急处置等多方人员的可视对讲，大幅度提升事件处置效率。,集群调度，联动指挥，物资调度,"动态
(实时更新)",各行业应急指挥调度场景,10 GB,5 MB,16.0,"

某高速路段业主单位使用该产品进行路面车辆追尾事件的应急处置，在事件发生的第一时间与事件现场当事人取得可视对讲联动，提供专业的应急处置指导、应急物资指引，在应急处置人员到达现场前有效地将事态引向好的方向发展，为各方人员争取到宝贵的时间。

",https://nidts.chinadep.com/ep-hall/spec?id=4542,航运交通,Automotive Data
广东省高速省级路网运行态势感知,2024-04-02,广东省高速路网运行态势感知系列,广科通立（广东）数据服务有限公司,航运交通,高速公路,数据应用,该产品为省级路网运行态势感知应用服务，功能模块包括全省路网基础信息（联网里程、服务区数量、充电桩数量、出入口数量、ETC收费门架数量、当月日均车流量展示）、车流预测（实时车流量统计及短时预测，并形成环比展示）、事件监测、拥堵预警、特殊车辆监测等。,车流预测，拥堵预警，高速事件,"动态
(实时更新)",广东省高速公路,10 GB,10 MB,26.0,"

交通管理部门使用该产品进行日常业务管理，全方位掌握广东省高速路网的车流运行态势，预测数据为管理者决策提供科学依据，大幅度提高了管理效率。

",https://nidts.chinadep.com/ep-hall/spec?id=4541,航运交通,Automotive Data
燃数线上消费量化产品,2024-04-01,燃数线上消费量化产品,北京燃数科技有限公司,金融,线上消费量化数据集,数据集,线上消费数据包含商品的价格、销量、品牌、品类等信息，通过模型可以计算商品、品牌、公司的销售数据，能够反应出公司的产品定价与营收情况。燃数基于该数据构建上市公司的基本面类量化因子，能够很好的筛选出优质标的，进而通过交易获得超额收益。,线上消费，量化因子，另类数据,"动态
(每周更新)",约300家A股上市公司,10 MB,0.01 MB,9.0,"

某二级市场投资机构研究部门，通过该产品获得某市场热点消费品的价格和销量变化趋势因子，以此调整投资模型和策略， 获得超额收益。

",https://nidts.chinadep.com/ep-hall/spec?id=4540,金融,Financial Services Data
韩国证券投资者POS支付数据,2024-03-30,韩国证券投资者支付数据,Mandata Corporation,国际,股票信息,数据集,该产品提供了韩国证券投资者的POS交易数据集，其对象是大多数韩国上市公司股票，投资分析师或投资者可以通过该数据集了解证券投资情况，并进行投资分析。产品包含了身份信息、交易基础信息、人口统计信息和留存率等信息。利用该产品，用户可以比一般的会计披露更早地、几乎实时地了解股票的销售趋势。,国际，金融，大数据,"动态
(每日更新)",全韩国,400 MB,0.23 MB,155.0,"

一家专注于全球对冲基金的投资机构选择购买本数据产品。公司采用安全可靠的AWS
S3或sFTP（安全FTP）平台来交付产品。该客户充分利用了公司提供的数据产品对韩国证券市场进行了深入的分析。通过公司提供的数据，他们能够比一般的会计披露更早、几乎实时地了解股票的销售趋势。这种提前洞察的能力使得他们在投资决策方面拥有了明显的优势，能够更快地做出反应并采取相应的行动，从而在市场中取得更好的竞争地位。

",https://nidts.chinadep.com/ep-hall/spec?id=4565,国际,Financial Services Data
韩国证券投资者信用卡和借记卡支付数据,2024-03-30,韩国证券投资者支付数据,Mandata Corporation,国际,股票信息,数据集,该产品提供了韩国证券投资者的信用卡和借记卡交易数据集，其对象是大多数韩国上市公司股票，投资分析师或投资者可以通过该数据集了解证券投资情况，并进行投资分析。产品包含了身份信息、基础交易信息、人口统计信息和留存率等信息。利用该产品，用户可以比一般的会计披露更早地、几乎实时地了解股票的销售趋势。,国际，金融，大数据,"动态
(每日更新)",全韩国,400 MB,0.23 MB,155.0,"

一家专注于全球对冲基金的投资机构选择购买本数据产品。公司采用安全可靠的AWS
S3或sFTP（安全FTP）平台来交付产品。该客户充分利用了公司提供的数据产品对韩国证券市场进行了深入的分析。通过公司提供的数据，他们能够比一般的会计披露更早、几乎实时地了解股票的销售趋势。这种提前洞察的能力使得他们在投资决策方面拥有了明显的优势，能够更快地做出反应并采取相应的行动，从而在市场中取得更好的竞争地位。

",https://nidts.chinadep.com/ep-hall/spec?id=4566,国际,Financial Services Data
GNSS中性大气掩星产品,2024-03-29,云遥系列GNSS掩星产品,天津云遥宇航科技有限公司,综合,天气信息,数据集,云遥宇航自主研发的星载GNSS掩星探测载荷（GROI）接收来自GNSS导航卫星的信号，通过云遥宇航掩星数据处理系统（预处理软件GNROPP、反演软件GNROI）获取0~60km高度范围内大气弯曲角、大气折射率、大气干温、大气干压等廓线产品。,GNSS，卫星数据，气象服务,静态,全球,0.5 MB,,19.0,"

已合作单位包括但不限于：中国气象局、航天行云、中科星图、大连航天北斗等。

",https://nidts.chinadep.com/ep-hall/spec?id=4504,综合,Environmental Data
GNSS电离层掩星产品,2024-03-29,云遥系列GNSS掩星产品,天津云遥宇航科技有限公司,综合,天气信息,数据集,云遥宇航自主研发的星载GNSS掩星探测载荷（GROI）接收来自GNSS导航卫星的信号，通过云遥宇航掩星数据处理系统（预处理软件GNROPP、反演软件GNROI）获取电离层中电子密度垂直廓线，电离层掩星总电子含量廓线产品可以提供电离层中总电子含量的垂直分布特征，同时得到F2峰值变化。,GNSS，电离层，卫星数据,静态,全球,0.01 MB,,7.0,"

该产品已合作的单位包括但不限于：中国气象局、中科星图、航天星云等

",https://nidts.chinadep.com/ep-hall/spec?id=4503,综合,Environmental Data
无机和生物无机化学百科全书,2024-03-27,Wiley eMRW,中国图书进出口（集团）有限公司,国际,在线参考工具书,数据集,无机和生物无机化学百科全书（EIBC），包括从基本的无机化学原理到材料、能源、生物科学、纳米科学和催化的最新发展和应用，每季度更新一次，提供有关重要新兴主题的最新信息，是无机化学、生物化学、材料科学、能源和可持续化学领域学术研究人员、工业科学家和学生的重要主题内容。,无机化学，生物无机,"动态
(每季度更新)",全球,1.6 GB,200 MB,50.0,"

1.高等院校或研究机构：从事无机化学、生物化学、材料科学、能源和可持续化学等领域的研究人员可以利用本百科全书来查阅新的研究进展、实验方法、理论模型和数据分析技术。学生可以通过阅读其中的文章来加深对生物无机化学理论的理解，同时了解相关领域的最新动态。

2.企业研发部门：在材料、能源、制药、化工等行业中，研发人员可以在百科全书中查找到关于新型催化剂、储能材料活生物传感器的设计、合成和性能评估等方面的信息，来探索新的无机材料和生物无机系统的应用，支持新产品开发。例如，在本百科全书中关于重金属超导性的资料，可以应用到寻找和开发具有新型超导性的材料，这些材料可能在电力传输、磁体制造或量子计算等领域具有潜在应用。

",https://nidts.chinadep.com/ep-hall/spec?id=4480,国际,Media & Entertainment Data
工业生物技术百科全书,2024-03-27,Wiley eMRW,中国图书进出口（集团）有限公司,国际,在线参考工具书,数据集,工业生物技术百科全书：生物工艺、生物分离和细胞技术，基于生物过程技术和细胞技术，经过全面修订、更新和扩展，从理论到实践，呈现了工业生物过程、技术、设备、产品以及伦理和监管问题的所有重要方面，并涵盖了其他重要领域，如：监管指南、GMP设施设计、生物制药的生产方法、生物制造、组织工程、生物电子设备、生物纳米技术，是全球生物技术行业的重要资源。,生物工艺，生物分离，细胞技术,静态,全球,1.15 GB,,50.0,"

1.政策监管：政府相关部门在制定工业生物技术领域的政策法规时，可以借鉴本百科全书中的伦理和监管问题部分，确保政策的科学性和合理性。比如，本百科全书中提出的，可持续生物制药和疫苗生产设施设计的整体优化方法，旨在最大限度减少能源和资源，提高生产效率，应用到监管方面，可以指导生物制药企业在设施设计和生产过程中贯彻可持续原则，实现经济效益、环境效益和社会效益的协调发展。

2.产业发展：生物技术在新药研发中发挥着重要作用，本百科全书中提到的工业生物技术，如细胞工程、酶工程，为现代制药提供了技术手段。生物制药，生物制造、生物化工等产业的企业可以了解到生产方法、设备设计和产品应用，提升企业的技术水平。

3.能源与环保领域：本百科全书中介绍的生物过程技术，生物分离技术，可以应用到能源领域，帮助发展生物燃料、生物制氢和生物燃气等新型能源，为缓解碳排放和改善气候变化提供技术支持。生物技术为解决工业废水和废气处理问题提供了新途径，例如，通过微生物的生物特性来吸附和降解废气中的有机物，可以治理大气污染，土壤生物修复技术可以通过微生物和生物的自我修复功能治理重金属污染和农药污染，实现土壤净化，保证农作物健康生长。

",https://nidts.chinadep.com/ep-hall/spec?id=4479,国际,Media & Entertainment Data
综合生理学,2024-03-27,Wiley eMRW,中国图书进出口（集团）有限公司,国际,在线参考工具书,数据集,综合生理学，包括美国生理学会著名的”生理学手册“(HOP)中三万多页存档资料，并且一年更新四次，它利用评论期刊和数字参考文献的功能，通过包括相关主题的权威文章，涵盖了在该领域的最新关键发展，是权威且全面的生理学信息汇集，能够为研究人员和临床医生研究不断发展的生理学提供重要参考，为教师提供实用的教学工具，为生命与健康科学领域的医学生和其他学生提供丰富的信息资源。,生理学,"动态
(每季度更新)",全球,2 GB,400 MB,50.0,"

1.高等院校：在设有生理学、医学等相关专业的高等院校中，研究者探索新的生理学领域或解决复杂的生物学问题时，可以利用《综合生理学》中的权威信息来验证他们的发现或假设，利用《综合生理学》中的最新关键发展来了解当前的研究热点和趋势，从而引导他们的研究方向。教师进行诸如神经科学，康复医学，等课程时，将《综合生理学》中的文章作为教参，可帮助学生了解一些疗法的原理和实践应用，培养学生的专业能力。学生进行生理学相关的学位论文或研究项目时，查阅其中的文献和综述，方便深入了解相关领域的背景知识、研究现状和未来发展方向。

2.公共卫生机构：政府部门或公共卫生机构制定健康促进和疾病预防策略，比如在制定高血压和慢性肾脏疾病的防控策略时，可以依据《综合生理学》中的数据和观点，制定更为有效的预防和控制措施，还可以利用《综合生理学》中的信息，开展健康教育和宣传活动，如：1）通过宣传缺乏运动的危害和增加身体活动的好处，提高公众对运动与健康关系的认识，鼓励人们养成积极的生活方式。2）开展针对脑损伤患者及其家属的健康教育活动，提高公众对脑损伤康复治疗的认知，促进患者和家属的积极参与和配合。

3.医疗机构中的研究及临床实践：《综合生理学》中介绍的一些方案可供临床医生和康复师借鉴，为患者制定个性化的康复计划，例如，针对获得性脑损伤的环境富集（EE）方案，通过增加运动、感觉和社会刺激，促进患者功能恢复。环境富集（EE）在缺血性卒中、脑出血和脑外伤动物模型中的应用，可以为临床医生提供实验依据，指导他们在临床实践中精准应用。

",https://nidts.chinadep.com/ep-hall/spec?id=4478,国际,Media & Entertainment Data
转基因植物概编,2024-03-26,Wiley eMRW,中国图书进出口（集团）有限公司,国际,在线参考工具书,数据集,转基因植物概编，全面综述了商业相关转基因植物，提供了大约100种商业相关作物的成功开发转基因植物的完整描述，包括水果、蔬菜、谷物、工业作物和森林树种，从农业、医学和环境的角度讨论了转基因技术在相关形状的分子剪裁中的应用，研究转基因作物使用的风险和担忧，探索未来的发展，并讨论了公众对转基因作物的看法、工业观点以及使用转基因作物的政治和经济后果。,转基因,静态,全球,1.3 GB,,50.0,"

  1. 高等院校：转基因作物的开发正在逐渐成为改善农业生产、提升人类健康水平、促进生态平衡和环境保护的关键手段。同时，转基因作物的广泛应用也引发了社会面的广泛讨论。因此，这一领域的深入研究和教育非常重要。对“转基因植物概编”的学习，学生可以深入了解转基因技术的原理、方法以及在农业、健康、生态和环境等领域的实际应用，也会接触到关于转基因作物社会政治影响的各种观点和讨论，从而培养他们的批判性思维能力和社会责任感。对于农业、遗传学、植物科学，专业领域的研究者、教师和学生，“转基因植物概编”是必读之作。
  2. 政府和监管机构：监管机构对转基因植物的研究、开发和应用过程，进行监管。“转基因植物概编”为转基因植物法规政策制定者提供了信息和分析，如转基因植物的潜在风险和公众态度。

",https://nidts.chinadep.com/ep-hall/spec?id=4477,国际,Media & Entertainment Data
