title,provider,description,update_frequency,coverage,dimension,url,category,category_aws,platform,currency,price_mode,price,volume,size,data_sample
企业网信估值报告,上海富由大数据科技股份有限公司,系统可基于企业公开信息的生成企业网信估值报告。根据企业的基础数据生成详尽的企业画像报告。,daily,CN,500.0,https://nidts.chinadep.com/ep-hall/spec?id=4661,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
企业精简估值报告,上海富由大数据科技股份有限公司,产品旨在为企业用户快速提供企业估值报告。用户需提供公司财务数据、未来预期等信息。系统将依据企业估值结果和信息进行计算，生成5页的企业估值报告。用户可根据报告辅助投资决策、融资谈判等。,daily,CN,500.0,https://nidts.chinadep.com/ep-hall/spec?id=4660,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
企业专业版估值报告,上海富由大数据科技股份有限公司,基于深度数据分析和市场趋势预测，生成详尽的估值报告。报告包含深度财务分析、未来预测和竞争对手比较等内容，为用户提供全面的决策支持。这一专业级别的报告可用于投资决策、并购谈判和业务规划等关键场景。,daily,CN,500.0,https://nidts.chinadep.com/ep-hall/spec?id=4659,综合,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
企业网信估值,上海富由大数据科技股份有限公司,系统可基于企业公开信息的生成企业初步估值结果。利用先进的算法和数据模型，该产品可以分析公司的基本信息、市场表现、行业趋势等多方面数据，无需用户交互快速生成企业估值结果。,daily,CN,500.0,https://nidts.chinadep.com/ep-hall/spec?id=4658,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
企业快速估值,上海富由大数据科技股份有限公司,系统可基于企业的公开信息和少量的补充信息生成企业估值结果。利用先进的算法和数据模型，产品可以分析公司的基本信息、财务状况、市场表现、行业趋势等多方面数据，无需用户交互快速生成企业估值结果。,daily,CN,500.0,https://nidts.chinadep.com/ep-hall/spec?id=4655,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
企业完整版估值报告,上海富由大数据科技股份有限公司,基于深度数据分析和市场行业趋势预测，生成完整的企业估值报告。完整版企业估值报告包含全面的数据分析、深度财务分析和完整的预测模型，以及详尽的行业分析内容，可广泛应用于企业的投资决策、并购谈判、融资筹备和业务规划等关键场景。,daily,CN,500.0,https://nidts.chinadep.com/ep-hall/spec?id=4656,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
市值可视化系统,上海富由大数据科技股份有限公司,基于海量的的企业基本及业务数据，面向各垂直行业客户提供的标准化数据产品和定制化服务。产品依托人工智能、大数据等新金融技术，汇聚企业、投资机构、服务商、政府、园区、商会等不同属性的用户，为其提供智能分析、数据可视化和资源整合服务。,daily,CN,1000.0,https://nidts.chinadep.com/ep-hall/spec?id=4657,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
企业专业估值,上海富由大数据科技股份有限公司,系统可基于企业的公开信息和完整的财务数据生成企业专业的估值结果。产品集成了多种金融估值模型，这些模型提供了不同的估值方法，以满足不同企业和行业的需求。,daily,CN,500.0,https://nidts.chinadep.com/ep-hall/spec?id=4654,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
宜兴市三维地理信息模型,宜兴市大数据发展有限公司,宜兴市三维地理信息模型是基于卫星影像图、建筑物底面的矢量数据、建筑物实景图片信息，通过三维可视化技术，以人工建模的方式构建了宜兴市24平方公里的L3（相似度80%）级别的建筑物外立面模型。模型数据格式为FBX，可以用于场景城市级别的数字孪生场景搭建与业务绑定，形成定制化的数字孪生业务场景。,no-update,CN,30.0,https://nidts.chinadep.com/ep-hall/spec?id=4560,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,6979321856.0,
广东省高速市域级路网运行态势感知,广科通立（广东）数据服务有限公司,该产品为市域级运行态势感知应用服务，功能模块包括市级路网基础信息（联网里程、服务区数量、充电桩数量、出入口数量、ETC收费门架数量、当月日均车流量展示）、车流预测（实时车流量统计及短时预测，并形成环比展示）、事件监测、拥堵预警、特殊车辆监测等。,real-time,CN,26.0,https://nidts.chinadep.com/ep-hall/spec?id=4544,航运交通,Automotive Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,10737418240.0,
广东省高速路段级运行态势感知,广科通立（广东）数据服务有限公司,该产品为路段级运行态势感知应用服务，功能模块包括路段基础信息（联网里程、服务区数量、充电桩数量、出入口数量、ETC收费门架数量、当月日均车流量展示）、车流预测（实时车流量统计及短时预测，并形成环比展示）、事件监测、拥堵预警、特殊车辆监测等。,real-time,CN,26.0,https://nidts.chinadep.com/ep-hall/spec?id=4543,航运交通,Automotive Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,10737418240.0,
通用视频集群调度,广科通立（广东）数据服务有限公司,该产品区别于传统面向业务的应急指挥调度系统，其显著特点是面向公众的视频集群调度。在以电子地图、事件监测、应急物资储备与调度、路网大数据输出最佳疏散路径为底座基础上，实现了事件现场当事人与专业应急处置等多方人员的可视对讲，大幅度提升事件处置效率。,real-time,CN,16.0,https://nidts.chinadep.com/ep-hall/spec?id=4542,航运交通,Automotive Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,10737418240.0,
广东省高速省级路网运行态势感知,广科通立（广东）数据服务有限公司,该产品为省级路网运行态势感知应用服务，功能模块包括全省路网基础信息（联网里程、服务区数量、充电桩数量、出入口数量、ETC收费门架数量、当月日均车流量展示）、车流预测（实时车流量统计及短时预测，并形成环比展示）、事件监测、拥堵预警、特殊车辆监测等。,real-time,CN,26.0,https://nidts.chinadep.com/ep-hall/spec?id=4541,航运交通,Automotive Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,10737418240.0,
燃数线上消费量化产品,北京燃数科技有限公司,线上消费数据包含商品的价格、销量、品牌、品类等信息，通过模型可以计算商品、品牌、公司的销售数据，能够反应出公司的产品定价与营收情况。燃数基于该数据构建上市公司的基本面类量化因子，能够很好的筛选出优质标的，进而通过交易获得超额收益。,weekly,CN,9.0,https://nidts.chinadep.com/ep-hall/spec?id=4540,金融,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,10485760.0,
韩国证券投资者POS支付数据,Mandata Corporation,该产品提供了韩国证券投资者的POS交易数据集，其对象是大多数韩国上市公司股票，投资分析师或投资者可以通过该数据集了解证券投资情况，并进行投资分析。产品包含了身份信息、交易基础信息、人口统计信息和留存率等信息。利用该产品，用户可以比一般的会计披露更早地、几乎实时地了解股票的销售趋势。,daily,KR,155.0,https://nidts.chinadep.com/ep-hall/spec?id=4565,国际,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,419430400.0,
韩国证券投资者信用卡和借记卡支付数据,Mandata Corporation,该产品提供了韩国证券投资者的信用卡和借记卡交易数据集，其对象是大多数韩国上市公司股票，投资分析师或投资者可以通过该数据集了解证券投资情况，并进行投资分析。产品包含了身份信息、基础交易信息、人口统计信息和留存率等信息。利用该产品，用户可以比一般的会计披露更早地、几乎实时地了解股票的销售趋势。,daily,KR,155.0,https://nidts.chinadep.com/ep-hall/spec?id=4566,国际,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,419430400.0,
GNSS中性大气掩星产品,天津云遥宇航科技有限公司,云遥宇航自主研发的星载GNSS掩星探测载荷（GROI）接收来自GNSS导航卫星的信号，通过云遥宇航掩星数据处理系统（预处理软件GNROPP、反演软件GNROI）获取0~60km高度范围内大气弯曲角、大气折射率、大气干温、大气干压等廓线产品。,no-update,"AW,AF,AO,AI,AX,AL,AD,AE,AR,AM,AS,AQ,TF,AG,AU,AT,AZ,BI,BE,BJ,BQ,BF,BD,BG,BH,BS,BA,BL,BY,BZ,BM,BO,BR,BB,BN,BT,BV,BW,CF,CA,CC,CH,CL,CN,CI,CM,CD,CG,CK,CO,KM,CV,CR,CU,CW,CX,KY,CY,CZ,DE,DJ,DM,DK,DO,DZ,EC,EG,ER,EH,ES,EE,ET,FI,FJ,FK,FR,FO,FM,GA,GB,GE,GG,GH,GI,GN,GP,GM,GW,GQ,GR,GD,GL,GT,GF,GU,GY,HK,HM,HN,HR,HT,HU,ID,IM,IN,IO,IE,IR,IQ,IS,IL,IT,JM,JE,JO,JP,KZ,KE,KG,KH,KI,KN,KR,KW,LA,LB,LR,LY,LC,LI,LK,LS,LT,LU,LV,MO,MF,MA,MC,MD,MG,MV,MX,MH,MK,ML,MT,MM,ME,MN,MP,MZ,MR,MS,MQ,MU,MW,MY,YT,NA,NC,NE,NF,NG,NI,NU,NL,NO,NP,NR,NZ,OM,PK,PA,PN,PE,PH,PW,PG,PL,PR,KP,PT,PY,PS,PF,QA,RE,RO,RU,RW,SA,SD,SN,SG,GS,SH,SJ,SB,SL,SV,SM,SO,PM,RS,SS,ST,SR,SK,SI,SE,SZ,SX,SC,SY,TC,TD,TG,TH,TJ,TK,TM,TL,TO,TT,TN,TR,TV,TW,TZ,UG,UA,UM,UY,US,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,ZA,ZM,ZW",19.0,https://nidts.chinadep.com/ep-hall/spec?id=4504,综合,Environmental Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,524288.0,
GNSS电离层掩星产品,天津云遥宇航科技有限公司,云遥宇航自主研发的星载GNSS掩星探测载荷（GROI）接收来自GNSS导航卫星的信号，通过云遥宇航掩星数据处理系统（预处理软件GNROPP、反演软件GNROI）获取电离层中电子密度垂直廓线，电离层掩星总电子含量廓线产品可以提供电离层中总电子含量的垂直分布特征，同时得到F2峰值变化。,no-update,"AW,AF,AO,AI,AX,AL,AD,AE,AR,AM,AS,AQ,TF,AG,AU,AT,AZ,BI,BE,BJ,BQ,BF,BD,BG,BH,BS,BA,BL,BY,BZ,BM,BO,BR,BB,BN,BT,BV,BW,CF,CA,CC,CH,CL,CN,CI,CM,CD,CG,CK,CO,KM,CV,CR,CU,CW,CX,KY,CY,CZ,DE,DJ,DM,DK,DO,DZ,EC,EG,ER,EH,ES,EE,ET,FI,FJ,FK,FR,FO,FM,GA,GB,GE,GG,GH,GI,GN,GP,GM,GW,GQ,GR,GD,GL,GT,GF,GU,GY,HK,HM,HN,HR,HT,HU,ID,IM,IN,IO,IE,IR,IQ,IS,IL,IT,JM,JE,JO,JP,KZ,KE,KG,KH,KI,KN,KR,KW,LA,LB,LR,LY,LC,LI,LK,LS,LT,LU,LV,MO,MF,MA,MC,MD,MG,MV,MX,MH,MK,ML,MT,MM,ME,MN,MP,MZ,MR,MS,MQ,MU,MW,MY,YT,NA,NC,NE,NF,NG,NI,NU,NL,NO,NP,NR,NZ,OM,PK,PA,PN,PE,PH,PW,PG,PL,PR,KP,PT,PY,PS,PF,QA,RE,RO,RU,RW,SA,SD,SN,SG,GS,SH,SJ,SB,SL,SV,SM,SO,PM,RS,SS,ST,SR,SK,SI,SE,SZ,SX,SC,SY,TC,TD,TG,TH,TJ,TK,TM,TL,TO,TT,TN,TR,TV,TW,TZ,UG,UA,UM,UY,US,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,ZA,ZM,ZW",7.0,https://nidts.chinadep.com/ep-hall/spec?id=4503,综合,Environmental Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,10485.76,
无机和生物无机化学百科全书,中国图书进出口（集团）有限公司,无机和生物无机化学百科全书（EIBC），包括从基本的无机化学原理到材料、能源、生物科学、纳米科学和催化的最新发展和应用，每季度更新一次，提供有关重要新兴主题的最新信息，是无机化学、生物化学、材料科学、能源和可持续化学领域学术研究人员、工业科学家和学生的重要主题内容。,quarterly,"AW,AF,AO,AI,AX,AL,AD,AE,AR,AM,AS,AQ,TF,AG,AU,AT,AZ,BI,BE,BJ,BQ,BF,BD,BG,BH,BS,BA,BL,BY,BZ,BM,BO,BR,BB,BN,BT,BV,BW,CF,CA,CC,CH,CL,CN,CI,CM,CD,CG,CK,CO,KM,CV,CR,CU,CW,CX,KY,CY,CZ,DE,DJ,DM,DK,DO,DZ,EC,EG,ER,EH,ES,EE,ET,FI,FJ,FK,FR,FO,FM,GA,GB,GE,GG,GH,GI,GN,GP,GM,GW,GQ,GR,GD,GL,GT,GF,GU,GY,HK,HM,HN,HR,HT,HU,ID,IM,IN,IO,IE,IR,IQ,IS,IL,IT,JM,JE,JO,JP,KZ,KE,KG,KH,KI,KN,KR,KW,LA,LB,LR,LY,LC,LI,LK,LS,LT,LU,LV,MO,MF,MA,MC,MD,MG,MV,MX,MH,MK,ML,MT,MM,ME,MN,MP,MZ,MR,MS,MQ,MU,MW,MY,YT,NA,NC,NE,NF,NG,NI,NU,NL,NO,NP,NR,NZ,OM,PK,PA,PN,PE,PH,PW,PG,PL,PR,KP,PT,PY,PS,PF,QA,RE,RO,RU,RW,SA,SD,SN,SG,GS,SH,SJ,SB,SL,SV,SM,SO,PM,RS,SS,ST,SR,SK,SI,SE,SZ,SX,SC,SY,TC,TD,TG,TH,TJ,TK,TM,TL,TO,TT,TN,TR,TV,TW,TZ,UG,UA,UM,UY,US,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,ZA,ZM,ZW",50.0,https://nidts.chinadep.com/ep-hall/spec?id=4480,国际,Media & Entertainment Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,1717986918.4,
工业生物技术百科全书,中国图书进出口（集团）有限公司,工业生物技术百科全书：生物工艺、生物分离和细胞技术，基于生物过程技术和细胞技术，经过全面修订、更新和扩展，从理论到实践，呈现了工业生物过程、技术、设备、产品以及伦理和监管问题的所有重要方面，并涵盖了其他重要领域，如：监管指南、GMP设施设计、生物制药的生产方法、生物制造、组织工程、生物电子设备、生物纳米技术，是全球生物技术行业的重要资源。,no-update,"AW,AF,AO,AI,AX,AL,AD,AE,AR,AM,AS,AQ,TF,AG,AU,AT,AZ,BI,BE,BJ,BQ,BF,BD,BG,BH,BS,BA,BL,BY,BZ,BM,BO,BR,BB,BN,BT,BV,BW,CF,CA,CC,CH,CL,CN,CI,CM,CD,CG,CK,CO,KM,CV,CR,CU,CW,CX,KY,CY,CZ,DE,DJ,DM,DK,DO,DZ,EC,EG,ER,EH,ES,EE,ET,FI,FJ,FK,FR,FO,FM,GA,GB,GE,GG,GH,GI,GN,GP,GM,GW,GQ,GR,GD,GL,GT,GF,GU,GY,HK,HM,HN,HR,HT,HU,ID,IM,IN,IO,IE,IR,IQ,IS,IL,IT,JM,JE,JO,JP,KZ,KE,KG,KH,KI,KN,KR,KW,LA,LB,LR,LY,LC,LI,LK,LS,LT,LU,LV,MO,MF,MA,MC,MD,MG,MV,MX,MH,MK,ML,MT,MM,ME,MN,MP,MZ,MR,MS,MQ,MU,MW,MY,YT,NA,NC,NE,NF,NG,NI,NU,NL,NO,NP,NR,NZ,OM,PK,PA,PN,PE,PH,PW,PG,PL,PR,KP,PT,PY,PS,PF,QA,RE,RO,RU,RW,SA,SD,SN,SG,GS,SH,SJ,SB,SL,SV,SM,SO,PM,RS,SS,ST,SR,SK,SI,SE,SZ,SX,SC,SY,TC,TD,TG,TH,TJ,TK,TM,TL,TO,TT,TN,TR,TV,TW,TZ,UG,UA,UM,UY,US,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,ZA,ZM,ZW",50.0,https://nidts.chinadep.com/ep-hall/spec?id=4479,国际,Media & Entertainment Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,1234803097.6,
综合生理学,中国图书进出口（集团）有限公司,综合生理学，包括美国生理学会著名的”生理学手册“(HOP)中三万多页存档资料，并且一年更新四次，它利用评论期刊和数字参考文献的功能，通过包括相关主题的权威文章，涵盖了在该领域的最新关键发展，是权威且全面的生理学信息汇集，能够为研究人员和临床医生研究不断发展的生理学提供重要参考，为教师提供实用的教学工具，为生命与健康科学领域的医学生和其他学生提供丰富的信息资源。,quarterly,"AW,AF,AO,AI,AX,AL,AD,AE,AR,AM,AS,AQ,TF,AG,AU,AT,AZ,BI,BE,BJ,BQ,BF,BD,BG,BH,BS,BA,BL,BY,BZ,BM,BO,BR,BB,BN,BT,BV,BW,CF,CA,CC,CH,CL,CN,CI,CM,CD,CG,CK,CO,KM,CV,CR,CU,CW,CX,KY,CY,CZ,DE,DJ,DM,DK,DO,DZ,EC,EG,ER,EH,ES,EE,ET,FI,FJ,FK,FR,FO,FM,GA,GB,GE,GG,GH,GI,GN,GP,GM,GW,GQ,GR,GD,GL,GT,GF,GU,GY,HK,HM,HN,HR,HT,HU,ID,IM,IN,IO,IE,IR,IQ,IS,IL,IT,JM,JE,JO,JP,KZ,KE,KG,KH,KI,KN,KR,KW,LA,LB,LR,LY,LC,LI,LK,LS,LT,LU,LV,MO,MF,MA,MC,MD,MG,MV,MX,MH,MK,ML,MT,MM,ME,MN,MP,MZ,MR,MS,MQ,MU,MW,MY,YT,NA,NC,NE,NF,NG,NI,NU,NL,NO,NP,NR,NZ,OM,PK,PA,PN,PE,PH,PW,PG,PL,PR,KP,PT,PY,PS,PF,QA,RE,RO,RU,RW,SA,SD,SN,SG,GS,SH,SJ,SB,SL,SV,SM,SO,PM,RS,SS,ST,SR,SK,SI,SE,SZ,SX,SC,SY,TC,TD,TG,TH,TJ,TK,TM,TL,TO,TT,TN,TR,TV,TW,TZ,UG,UA,UM,UY,US,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,ZA,ZM,ZW",50.0,https://nidts.chinadep.com/ep-hall/spec?id=4478,国际,Media & Entertainment Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,2147483648.0,
转基因植物概编,中国图书进出口（集团）有限公司,转基因植物概编，全面综述了商业相关转基因植物，提供了大约100种商业相关作物的成功开发转基因植物的完整描述，包括水果、蔬菜、谷物、工业作物和森林树种，从农业、医学和环境的角度讨论了转基因技术在相关形状的分子剪裁中的应用，研究转基因作物使用的风险和担忧，探索未来的发展，并讨论了公众对转基因作物的看法、工业观点以及使用转基因作物的政治和经济后果。,no-update,"AW,AF,AO,AI,AX,AL,AD,AE,AR,AM,AS,AQ,TF,AG,AU,AT,AZ,BI,BE,BJ,BQ,BF,BD,BG,BH,BS,BA,BL,BY,BZ,BM,BO,BR,BB,BN,BT,BV,BW,CF,CA,CC,CH,CL,CN,CI,CM,CD,CG,CK,CO,KM,CV,CR,CU,CW,CX,KY,CY,CZ,DE,DJ,DM,DK,DO,DZ,EC,EG,ER,EH,ES,EE,ET,FI,FJ,FK,FR,FO,FM,GA,GB,GE,GG,GH,GI,GN,GP,GM,GW,GQ,GR,GD,GL,GT,GF,GU,GY,HK,HM,HN,HR,HT,HU,ID,IM,IN,IO,IE,IR,IQ,IS,IL,IT,JM,JE,JO,JP,KZ,KE,KG,KH,KI,KN,KR,KW,LA,LB,LR,LY,LC,LI,LK,LS,LT,LU,LV,MO,MF,MA,MC,MD,MG,MV,MX,MH,MK,ML,MT,MM,ME,MN,MP,MZ,MR,MS,MQ,MU,MW,MY,YT,NA,NC,NE,NF,NG,NI,NU,NL,NO,NP,NR,NZ,OM,PK,PA,PN,PE,PH,PW,PG,PL,PR,KP,PT,PY,PS,PF,QA,RE,RO,RU,RW,SA,SD,SN,SG,GS,SH,SJ,SB,SL,SV,SM,SO,PM,RS,SS,ST,SR,SK,SI,SE,SZ,SX,SC,SY,TC,TD,TG,TH,TJ,TK,TM,TL,TO,TT,TN,TR,TV,TW,TZ,UG,UA,UM,UY,US,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,ZA,ZM,ZW",50.0,https://nidts.chinadep.com/ep-hall/spec?id=4477,国际,Media & Entertainment Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,1395864371.2,
计算力学百科全书,中国图书进出口（集团）有限公司,计算力学百科全书，经过第二版的更新与扩展，已经从三卷扩展到六卷，新增了18个章节，包含了与数学、力学和计算机科学相关的贡献，是计算工程中领先的参考著作，描述了计算流体动力学中使用的其他基本方法，涵盖固体力学、流体力学、广泛处理有限元分析、和CFD技术，是大学工程系或公司的重要参考资料。,no-update,"AW,AF,AO,AI,AX,AL,AD,AE,AR,AM,AS,AQ,TF,AG,AU,AT,AZ,BI,BE,BJ,BQ,BF,BD,BG,BH,BS,BA,BL,BY,BZ,BM,BO,BR,BB,BN,BT,BV,BW,CF,CA,CC,CH,CL,CN,CI,CM,CD,CG,CK,CO,KM,CV,CR,CU,CW,CX,KY,CY,CZ,DE,DJ,DM,DK,DO,DZ,EC,EG,ER,EH,ES,EE,ET,FI,FJ,FK,FR,FO,FM,GA,GB,GE,GG,GH,GI,GN,GP,GM,GW,GQ,GR,GD,GL,GT,GF,GU,GY,HK,HM,HN,HR,HT,HU,ID,IM,IN,IO,IE,IR,IQ,IS,IL,IT,JM,JE,JO,JP,KZ,KE,KG,KH,KI,KN,KR,KW,LA,LB,LR,LY,LC,LI,LK,LS,LT,LU,LV,MO,MF,MA,MC,MD,MG,MV,MX,MH,MK,ML,MT,MM,ME,MN,MP,MZ,MR,MS,MQ,MU,MW,MY,YT,NA,NC,NE,NF,NG,NI,NU,NL,NO,NP,NR,NZ,OM,PK,PA,PN,PE,PH,PW,PG,PL,PR,KP,PT,PY,PS,PF,QA,RE,RO,RU,RW,SA,SD,SN,SG,GS,SH,SJ,SB,SL,SV,SM,SO,PM,RS,SS,ST,SR,SK,SI,SE,SZ,SX,SC,SY,TC,TD,TG,TH,TJ,TK,TM,TL,TO,TT,TN,TR,TV,TW,TZ,UG,UA,UM,UY,US,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,ZA,ZM,ZW",50.0,https://nidts.chinadep.com/ep-hall/spec?id=4474,国际,Media & Entertainment Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,1932735283.2,
