title,provider,price,update_frequency,category,category_aws,description,price_mode,volume,size,dimension,coverage,platform,currency,url,data_sample
广州市行业用电情况分析产品数据产品,广东电网有限责任公司广州供电局,0.0,monthly,公共服务,Public Sector Data,在动态行业用电数据变化之间，能敏锐地捕捉到经济运行的活跃度。根据国民经济产业的科学划分，选取了广州市内各个细分行业的用电量数据，通过细致、有条理的统计分析，旨在为您描绘一幅行业用电量、各类用电占比、以及未来发展趋势。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=386,
电力看环保-双碳转型-河流防汛预警数据产品,广东电网能源投资有限公司,0.0,on-demand,能源电力,Resources Data,"河流防汛预警服务是通过精密的技术手段和高精度的设备对重点发电站的水流量以及发电量等关键数据进行持续、精准的监测，使得工作人员能够在第一时间掌握发电站的运行状态，对电站的运行状态做到心中有数。
借助电网大数据的力量，企业单位可以通过提供详细的重点发电站信息，为我们构建出一套高效、实用的业务分析模型，这套模型能够利用实时数据进行深入分析，有效地为管理者全面、及时地了解发电站的供电能力和应急方案规划提供决策依据。
通过多个维度的数据支持，例如时间、用电区域、设备类型等，我们可以更加精确地对发电站的电力生产状况进行辅助分析，为用户提供更加准确的信息，帮助他们做出更加明智的决策。",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=380,
电力看经济-企业经营情况分析-异常企业监测数据产品,广东电网能源投资有限公司,0.0,on-demand,能源电力,Resources Data,"异常企业监测系统是一款专业、智能化运营平台，它汇聚了南网真实用户的精确用电信息、详细的缴费信息以及异常违约信息等多个方面的信息，让企业能够快速、全面地了解企业自身的运营状况，以促进企业的持续稳健发展和运营效率的提升。
该系统的核心目标在于有力提升经济运营环境的健康程度，致力于为各类企业提供更为专业化和精细化的用电量、欠费信息以及违约特性信息，深度利用这些信息有助于企业运营情况的全面深入了解，进而帮助企业发现运营中的问题和潜在风险，从而减少企业用电的不确定性和潜在风险。这种理解的加强能有效提升企业的运营能力和抗风险能力，为企业持续稳健发展以及运营效率的提升提供了坚实的基础。",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=377,
贷后预警报告（社保维度监控）数据产品,珠海市香洲区数字金融中心,288.0,monthly,智慧金融,Financial Services Data,"为激活数据要素潜能，以数字技术赋能金融服务，推动建立缓解中小微企业融资难融资贵问题的长效机制，实现“科技-产业-金融”良性循环，珠海市香洲区数字金融中心积极探索数据安全合规共享，促进数据赋能实体经济发展，传统金融机构贷后监测仅根据企业自主提供的年度财务报表，缺乏时效性，贷后预警报告(社保维度监控)产品基于珠海产融平台(政府搭建的银企对接平台)的金融机构为企业提供的贷款项目，为金融机构提供基于企业社保数据的分析报告，满足金融机构对已贷款企业的持续监测需求，服务企业持续发展。
珠海产融平台由珠海市香洲区人民政府联合珠海市金融工作局搭建，以支持银行等金融机构提升服务中小微企业能力为出发点，充分运用人工智能、大数据、云计算、区块链等数字技术，在确保依法依规与信息安全基础上，多种方式归集共享各类涉企信用信息，完善企业信用评价体系，破解银企信息不对称难题，创新优化中小微企业金融服务。
本产品费用为288元/企业/年，50家企业监测需求起步，可提供企业社保情况整体数据、均值数据、环比变化数据等信息。",subscription,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=335,
中移梧桐热图数据产品,中国移动通信集团广东有限公司,0.0,on-demand,公共服务,Public Sector Data,"“中移梧桐热图”是中移广东公司大数据标准产品，是基于中移广东公司自有位置信令、用户通话行为、上网行为等实时和离线的数据计算分析，以SaaS化、API接口等多种服务形式，准实时提供区域热力图、区域客流统计、来源去向等数据服务。为行业客户提供应急维稳、城市管理规划、道路交通规划、重大活动检测、商圈规划等大数据服务。“中移梧桐热图”面向政府管理部门,针对指定区域公共安全、交通道路监测、大型活动（会展/体育盛事/节事活动）监控等场景，提供客流监测、人群画像分析、人流量预警等数据可视化平台，预防重点区域人流密集导致人身安全隐患，支撑管理部门现场监管工作",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=311,
婚恋意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,咨询服务,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=302,
炒股意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,智慧金融,Financial Services Data,中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=301,
买卖租房装修意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,新零售,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=300,
海淘意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,新零售,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=299,
购物意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,新零售,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=298,
旅游意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,文化旅游,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=297,
理财意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,智慧金融,Financial Services Data,中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=296,
个人保险意愿强度模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,智慧金融,Financial Services Data,中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=295,
数码达人识别模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,新零售,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=294,
养生达人识别模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,新零售,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=293,
银行活跃客群识别模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,智慧金融,Financial Services Data,中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=292,
孕期家庭识别模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,新零售,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=291,
幼儿家庭识别模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,新零售,"Retail, Location & Marketing Data",中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=290,
车主识别模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,汽车,Automotive Data,中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=289,
网约车司机识别模型数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,交通运输,Automotive Data,中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。 中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=288,
